lastName,firstName,positionCode,shootsCatches,heightInInches,weightInPounds,lastAmateurClub,lastAmateurLeague,birthDate,birthCity,birthStateProvince,birthCountry,midtermRank,finalRank,meta_datetime
Sawchyn,Gracyn,C,R,71,155,Seattle,WHL,2005-01-19,Grande Prairie,AB,CAN,42,24,2025-02-23T15:00:45.992616
Ziemmer,Koehn,RW,R,72,206,Prince George,WHL,2004-12-08,Mayerthorpe,AB,CAN,20,25,2025-02-23T15:00:45.992616
Myatovic,Nico,LW,L,74,180,Seattle,WHL,2004-12-01,Prince George,BC,CAN,47,26,2025-02-23T15:00:45.992616
Lardis,Nick,LW,L,72,180,Hamilton,OHL,2005-07-08,Oakville,ON,CAN,96,27,2025-02-23T15:00:45.992616
Molendyk,Tanner,D,L,72,185,Saskatoon,WHL,2005-02-03,McBride,BC,CAN,36,28,2025-02-23T15:00:45.992616
Rehkopf,Carson,LW,L,74,202,Kitchener,OHL,2005-01-07,Barrie,ON,CAN,31,29,2025-02-23T15:00:45.992616
Stramel,Charlie,C,R,75,222,Wisconsin,BIG10,2004-10-15,St. Paul,MN,USA,21,30,2025-02-23T15:00:45.992616
Gibson,Andrew,D,R,75,206,Sault Ste. Marie,OHL,2005-02-13,Windsor,ON,CAN,32,31,2025-02-23T15:00:45.992616
Bertucci,Tristan,D,L,74,183,Flint,OHL,2005-07-12,King City,ON,CAN,51,32,2025-02-23T15:00:45.992616
Akey,Beau,D,R,72,183,Barrie,OHL,2005-02-11,Kitchener,ON,CAN,25,33,2025-02-23T15:00:45.992616
Burns,Quinton,D,L,74,185,Kingston,OHL,2005-04-14,Smith Falls,ON,CAN,37,34,2025-02-23T15:00:45.992616
Cagnoni,Luca,D,L,69,182,Portland,WHL,2004-12-21,Burnaby,BC,CAN,34,35,2025-02-23T15:00:45.992616
Cataford,Mathieu,C,R,72,192,Halifax,QMJHL,2005-03-01,Chateaugay,QC,CAN,27,36,2025-02-23T15:00:45.992616
Pitre,Coulson,RW,R,72,174,Flint,OHL,2004-12-13,Newmarket,ON,CAN,41,37,2025-02-23T15:00:45.992616
Terrance,Carey,C,L,72,190,Erie,OHL,2005-05-10,Akwesasne,NY,USA,50,38,2025-02-23T15:00:45.992616
Lind,Kalan,LW,L,72,158,Red Deer,WHL,2005-01-25,Swift Current,SK,CAN,23,39,2025-02-23T15:00:45.992616
Suniev,Aydar,LW,L,74,192,Penticton,BCHL,2004-11-16,Kazan,,RUS,35,40,2025-02-23T15:00:45.992616
Brzustewicz,Hunter,D,R,72,190,Kitchener,OHL,2004-11-29,Washington,MI,USA,33,41,2025-02-23T15:00:45.992616
Whitelaw,William,RW,R,69,175,Youngstown,USHL,2005-02-05,Rosemount,MN,USA,55,42,2025-02-23T15:00:45.992616
Perron,Jayden,RW,R,69,166,Chicago,USHL,2005-01-11,Winnipeg,MB,CAN,28,43,2025-02-23T15:00:45.992616
Strathmann,Andrew,D,L,71,187,Youngstown,USHL,2005-02-27,Waukegan,IL,USA,67,44,2025-02-23T15:00:45.992616
Misiak,Martin,RW,L,74,204,Youngstown,USHL,2004-09-30,Banska Bystrica,,SVK,28,45,2025-02-23T15:00:45.992616
Allen,Cameron,D,R,72,197,Guelph,OHL,2005-01-07,Toronto,ON,CAN,29,46,2025-02-23T15:00:45.992616
Price,Caden,D,L,72,190,Kelowna,WHL,2005-08-24,Saskatoon,SK,CAN,30,47,2025-02-23T15:00:45.992616
Strbak,Maxim,D,R,73,198,Sioux Falls,USHL,2005-04-13,Kosice,,SVK,44,48,2025-02-23T15:00:45.992616
Lipinski,Jaden,C,R,76,210,Vancouver,WHL,2004-12-02,Scottsdale,AZ,USA,38,49,2025-02-23T15:00:45.992616
Miedema,Ethan,LW,L,76,217,Kingston,OHL,2005-03-22,Fort St. John,BC,CAN,45,50,2025-02-23T15:00:45.992616
Cowan,Easton,RW,L,71,180,London,OHL,2005-05-20,Strathroy,ON,CAN,75,51,2025-02-23T15:00:45.992616
McCarthy,Gavin,D,R,74,186,Muskegon,USHL,2005-06-02,Troy,NY,USA,39,52,2025-02-23T15:00:45.992616
Ludtke,Tanner,C,L,72,185,Lincoln,USHL,2004-11-27,Lakeville,MN,USA,72,53,2025-02-23T15:00:45.992616
Pinelli,Luca,C,L,69,169,Ottawa,OHL,2005-04-05,Stoney Creek,ON,CAN,49,54,2025-02-23T15:00:45.992616
Shaugabay,Jayson,RW,R,69,164,Warroad,HIGH-MN,2005-04-05,Roseau,MN,USA,64,55,2025-02-23T15:00:45.992616
Squires,Cam,RW,R,72,182,Cape Breton,QMJHL,2005-04-11,Charlottetown,PE,CAN,114,56,2025-02-23T15:00:45.992616
Gardiner,Brad,C,R,73,188,Ottawa,OHL,2005-03-06,Barrie,ON,CAN,43,57,2025-02-23T15:00:45.992616
Fischer,Paul,D,L,73,200,USA U-18,NTDP,2005-01-30,Chicago,IL,USA,52,58,2025-02-23T15:00:45.992616
Nehring,Zach,RW,R,75,184,Shattuck-St. Mary's,HIGH-MN,2005-03-07,Minot,ND,USA,70,59,2025-02-23T15:00:45.992616
Fortescue,Drew,D,L,73,176,USA U-18,NTDP,2005-04-28,New York,NY,USA,58,60,2025-02-23T15:00:45.992616
MacKinnon,Dylan,D,R,74,197,Halifax,QMJHL,2005-01-12,Riverview,NB,CAN,65,61,2025-02-23T15:00:45.992616
Mynio,Sawyer,D,L,73,180,Seattle,WHL,2005-04-30,Kamloops,BC,CAN,111,62,2025-02-23T15:00:45.992616
Fink,Aiden,RW,R,69,153,Brooks,AJHL,2004-11-24,Calgary,AB,CAN,66,63,2025-02-23T15:00:45.992616
Cleveland,Brady,D,L,77,209,USA U-18,NTDP,2005-04-01,Wausau,WI,USA,59,64,2025-02-23T15:00:45.992616
Malinoski,Hudson,C,L,72,175,Brooks,AJHL,2004-05-19,Saskatoon,SK,CAN,78,65,2025-02-23T15:00:45.992616
Svoboda,Brandon,C,R,75,208,Youngstown,USHL,2005-02-04,Pittsburgh,PA,USA,69,66,2025-02-23T15:00:45.992616
Hendrickson,Beckett,C,L,74,175,USA U-18,NTDP,2005-06-24,Minnetonka,MN,USA,94,67,2025-02-23T15:00:45.992616
Loshko,Andrei,C,L,74,184,Chicoutimi,QMJHL,2004-10-07,Zhlobin,,BLR,104,68,2025-02-23T15:00:45.992616
Brown,Cole,RW,L,75,190,Hamilton,OHL,2005-04-27,Toronto,ON,CAN,105,69,2025-02-23T15:00:45.992616
Mania,Matthew,D,R,73,193,Sudbury,OHL,2005-01-11,Brandon,FL,USA,62,70,2025-02-23T15:00:45.992616
Sotheran,Carter,D,R,75,202,Portland,WHL,2005-06-26,Winnipeg,MB,CAN,89,71,2025-02-23T15:00:45.992616
Mayich,Matthew,D,L,74,197,Ottawa,OHL,2004-12-21,Hamilton,ON,CAN,122,72,2025-02-23T15:00:45.992616
Keenan,Larry,D,L,76,180,Culver Academy,HIGH-IN,2005-03-15,Barrie,ON,CAN,107,73,2025-02-23T15:00:45.992616
Connor,Joe,LW,L,70,173,Muskegon,USHL,2005-03-31,Amherst,NH,USA,71,74,2025-02-23T15:00:45.992616
Levis,Connor,C,R,73,187,Kamloops,WHL,2004-10-05,Vancouver,BC,CAN,60,75,2025-02-23T15:00:45.992616
Peddle,Tyler,LW,L,74,214,Drummondville,QMJHL,2005-01-28,Halifax,NS,CAN,46,76,2025-02-23T15:00:45.992616
Pharand,Alex,RW,R,74,212,Sudbury,OHL,2005-01-05,Sudbury,ON,CAN,54,77,2025-02-23T15:00:45.992616
Minnetian,Aram,D,R,71,195,USA U-18,NTDP,2005-03-19,Woodcliff Lake,NJ,USA,57,78,2025-02-23T15:00:45.992616
Barkey,Denver,C,L,69,162,London,OHL,2005-04-27,Newmarket,ON,CAN,84,79,2025-02-23T15:00:45.992616
Poitras,Benjamin,C,R,71,180,NORTHEASTERN,H-EAST,2005-07-18,Montreal,QC,CAN,112,80,2025-02-23T15:00:45.992616
Sidorov,Yegor,RW,L,72,180,Saskatoon,WHL,2004-06-18,Vitebsk,,BLR,86,81,2025-02-23T15:00:45.992616
Deangelo,Michael,LW,L,71,178,MICHIGAN STATE,BIG10,2004-11-19,Itasca,IL,USA,56,82,2025-02-23T15:00:45.992616
Hay,Ethan,C,L,72,195,Flint,OHL,2005-01-15,Kitchener,ON,CAN,90,83,2025-02-23T15:00:45.992616
Mann,Matteo,D,R,78,235,Chicoutimi,QMJHL,2004-12-31,Sackville,NB,CAN,53,84,2025-02-23T15:00:45.992616
Stanley,Hoyt,D,R,74,187,Victoria,BCHL,2005-02-04,West Vancouver,BC,CAN,77,85,2025-02-23T15:00:45.992616
Beckner,Owen,C,L,74,175,Salmon Arm,BCHL,2005-02-27,Victoria,BC,CAN,128,86,2025-02-23T15:00:45.992616
Fisher,Jake,C,L,74,190,Fargo,USHL,2005-03-27,Woodbury,MN,USA,108,87,2025-02-23T15:00:45.992616
Foster,Cooper,C,L,71,187,Ottawa,OHL,2005-06-04,Sault Ste. Marie,ON,CAN,74,88,2025-02-23T15:00:45.992616
Halaburda,Ty,C,R,71,188,VANCOUVER,WHL,2005-04-22,Victoria,BC,CAN,61,89,2025-02-23T15:00:45.992616
Dell'elce,Francesco,D,L,72,170,UMASS,H-EAST,2005-06-23,Nobleton,ON,CAN,106,90,2025-02-23T15:00:45.992616
Castagna,Jonathan,C,L,74,195,St. Andrew's College,HIGH-ON,2005-04-20,Toronto,ON,CAN,135,91,2025-02-23T15:00:45.992616
Burnevik,Austin,RW,L,76,195,Madison,USHL,2005-01-03,Ham Lake,MN,USA,68,92,2025-02-23T15:00:45.992616
Parker,Kalem,D,R,72,191,Victoria,WHL,2004-10-12,Saskatoon,SK,CAN,113,93,2025-02-23T15:00:45.992616
Smith,Konnor,D,L,78,215,Peterborough,OHL,2004-11-06,Windsor,ON,CAN,87,94,2025-02-23T15:00:45.992616
Hammell,Kaden,D,R,73,188,Everett,WHL,2005-03-12,Langley,BC,CAN,95,95,2025-02-23T15:00:45.992616
Schulz,Zachary,D,L,73,197,USA U-18,NTDP,2005-06-14,Ann Arbor,MI,USA,91,96,2025-02-23T15:00:45.992616
Mittelstadt,Luke,D,L,71,185,Minnesota,BIG10,2003-01-22,Eden Prairie,MN,USA,82,97,2025-02-23T15:00:45.992616
Copponi,Matt,C,R,70,167,Merrimack,H-EAST,2003-06-04,Mansfield,MA,USA,99,98,2025-02-23T15:00:45.992616
Cheslock,Chase,D,R,75,199,Rogers,HIGH-MN,2004-10-25,Rogers,MN,USA,146,99,2025-02-23T15:00:45.992616
McNamara,Luke,C,L,74,179,WINDSOR,OHL,2005-03-02,Mississauga,ON,CAN,92,100,2025-02-23T15:00:45.992616
Adams,Tanner,RW,R,71,184,PROVIDENCE,H-EAST,2005-09-02,Huntington,NY,USA,73,101,2025-02-23T15:00:45.992616
Henricks,Ty,LW,L,76,215,Muskegon,USHL,2005-06-28,Mission Viejo,CA,USA,158,102,2025-02-23T15:00:45.992616
Hagens,Michael,D,L,71,170,BOSTON COLLEGE,H-EAST,2005-02-18,Hauppauge,NY,USA,,103,2025-02-23T15:00:45.992616
Wisdom,Zaccharya,RW,R,72,175,Cedar Rapids,USHL,2004-04-29,Toronto,ON,CAN,101,104,2025-02-23T15:00:45.992616
Knuble,Cole,C,R,70,185,Fargo,USHL,2004-07-01,Grand Rapids,MI,USA,125,105,2025-02-23T15:00:45.992616
Romani,Anthony,RW,R,72,184,North Bay,OHL,2005-07-12,Markham,ON,CAN,170,106,2025-02-23T15:00:45.992616
Kipkie,Justin,D,L,75,208,Victoria,WHL,2005-07-28,North Vancouver,BC,CAN,,107,2025-02-23T15:00:45.992616
McMillan,Deagan,RW,R,74,196,WENATCHEE,WHL,2005-01-21,Vernon,BC,CAN,,108,2025-02-23T15:00:45.992616
Sebastian,Eli,C,L,71,185,NORTHEASTERN,H-EAST,2004-05-19,Burlington,ON,CAN,,109,2025-02-23T15:00:45.992616
Burbidge,Cole,C,L,74,180,CAPE BRETON,QMJHL,2005-08-26,Falmouth,NS,CAN,,110,2025-02-23T15:00:45.992616
Anderson,Hunter,LW,L,70,193,LINCOLN,USHL,2005-04-28,Los Angeles,CA,USA,151,111,2025-02-23T15:00:45.992616
Conmy,Ryan,RW,R,70,188,Sioux City,USHL,2004-10-23,Fort Walton Beach,FL,USA,211,112,2025-02-23T15:00:45.992616
Roest,Austin,C,R,70,178,Everett,WHL,2004-01-22,Zurich,,CHE,83,113,2025-02-23T15:00:45.992616
Dionicio,Rodwin,D,L,74,218,Windsor,OHL,2004-03-30,New Jersey,NJ,USA,,114,2025-02-23T15:00:45.992616
Uchacz,Kai,C,R,74,194,HENDERSON,AHL,2003-06-24,Calgary,AB,CAN,130,115,2025-02-23T15:00:45.992616
Gill,Justin,C,L,73,193,Sherbrooke,QMJHL,2003-01-27,St-Eustache,QC,CAN,126,116,2025-02-23T15:00:45.992616
Pionk,Aaron,D,L,73,173,Waterloo,USHL,2003-01-16,Hermantown,MN,USA,81,117,2025-02-23T15:00:45.992616
Pohlkamp,Eric,D,R,70,201,Cedar Rapids,USHL,2004-03-23,Baxter,MN,USA,127,118,2025-02-23T15:00:45.992616
Henneberry,Joseph,C,L,74,194,CAPE BRETON,QMJHL,2004-12-20,Halifax,NS,CAN,129,119,2025-02-23T15:00:45.992616
Weiermair,Alexander,C,R,73,190,PORTLAND,WHL,2005-05-10,Los Angeles,CA,USA,93,120,2025-02-23T15:00:45.992616
Vermette,Emmanuel,LW,L,73,200,CHICOUTIMI,QMJHL,2005-05-11,Qu̩bec,QC,CAN,110,121,2025-02-23T15:00:45.992616
Blais-Savoie,Philippe,D,L,72,190,COLORADO COLLEGE,NCHC,2005-06-10,San Jose,CA,USA,,122,2025-02-23T15:00:45.992616
Tourigny,Jordan,D,R,71,165,SHAWINIGAN,QMJHL,2005-02-28,Victoriaville,QC,CAN,63,123,2025-02-23T15:00:45.992616
Hanzel,Jeremy,D,L,73,201,Seattle,WHL,2003-02-27,Coquitlam,BC,CAN,,124,2025-02-23T15:00:45.992616
Leslie,Mazden,D,R,72,200,VANCOUVER,WHL,2005-04-15,Lloydminster,AB,CAN,80,125,2025-02-23T15:00:45.992616
Outwater,Owen,LW,L,74,190,WINDSOR,OHL,2005-01-04,Ottawa,ON,CAN,76,126,2025-02-23T15:00:45.992616
Pelosi,Christopher,C,L,73,181,Sioux Falls,USHL,2005-03-06,Sewell,NJ,USA,100,127,2025-02-23T15:00:45.992616
MacPherson,Connor,RW,R,72,173,NEW HAMPSHIRE,H-EAST,2005-03-02,Windsor,ON,CAN,134,128,2025-02-23T15:00:45.992616
Molnar,Ondrej,RW,L,70,175,SUDBURY,OHL,2005-02-08,Nitra,,SVK,48,129,2025-02-23T15:00:45.992616
Soto,Matthew,RW,R,71,181,KINGSTON,OHL,2005-08-31,Oakville,ON,CAN,88,130,2025-02-23T15:00:45.992616
Xhekaj,Florian,LW,L,74,188,Hamilton,OHL,2004-06-27,Hamilton,ON,CAN,103,131,2025-02-23T15:00:45.992616
Weinstein,Saige,D,L,72,190,SPOKANE,WHL,2005-05-30,Edmonton,AB,CAN,97,132,2025-02-23T15:00:45.992616
Cote,Charles,D,L,78,205,VICTORIA,BCHL,2004-07-02,Valcourt,QC,CAN,,133,2025-02-23T15:00:45.992616
Andonovski,Matthew,D,L,74,222,Kitchener,OHL,2005-03-14,Markham,ON,CAN,115,134,2025-02-23T15:00:45.992616
Brady,Morgan,D,R,74,208,WATERLOO,USHL,2005-04-21,Grande Prairie,AB,CAN,143,135,2025-02-23T15:00:45.992616
Petrovski,James,D,L,75,191,OWEN SOUND,OHL,2005-08-12,Mississauga,ON,CAN,116,136,2025-02-23T15:00:45.992616
Sharp,Zachary,D,L,73,180,WESTERN MICHIGAN,NCHC,2005-03-29,Naperville,IL,USA,102,137,2025-02-23T15:00:45.992616
Mantei,Quinn,D,L,72,185,BRANDON,WHL,2005-04-23,Weyburn,SK,CAN,153,138,2025-02-23T15:00:45.992616
Romeo,Lucas,RW,R,74,214,CAPE BRETON,QMJHL,2005-03-24,Oakville,ON,CAN,152,139,2025-02-23T15:00:45.992616
Celebrini,Aiden,D,R,73,187,Brooks,AJHL,2004-10-26,Vancouver,BC,CAN,142,140,2025-02-23T15:00:45.992616
Fabrizi,Matteo,D,L,78,238,PRINCE ALBERT,WHL,2005-03-23,Halifax,NS,CAN,215,141,2025-02-23T15:00:45.992616
MacDonell,Angus,C,L,70,185,Mississauga,OHL,2005-05-11,Toronto,ON,CAN,172,142,2025-02-23T15:00:45.992616
Nevers,Jackson,C,R,72,210,MADISON,USHL,2005-07-27,Edina,MN,USA,167,143,2025-02-23T15:00:45.992616
Coughlin,Luke,D,L,70,180,Rimouski,QMJHL,2005-04-11,Charlottetown,PE,CAN,79,144,2025-02-23T15:00:45.992616
Vote,William,RW,R,68,160,BOSTON COLLEGE,H-EAST,2005-02-22,Arlington,MA,USA,121,145,2025-02-23T15:00:45.992616
Harvey,Jack,C,L,70,175,Chicago,USHL,2003-03-31,Des Moines,IA,USA,132,146,2025-02-23T15:00:45.992616
Higgins,Ty,D,R,72,186,ROUYN-NORANDA,QMJHL,2004-09-26,Shakespeare,ON,CAN,155,147,2025-02-23T15:00:45.992616
Sprynar,Jan,RW,R,72,177,LITVINOV,CZECHIA,2005-02-26,Zatec,,CZE,85,148,2025-02-23T15:00:45.992616
Shahan,Kaden,RW,R,71,168,UCONN,H-EAST,2005-05-24,Everrett,WA,USA,168,149,2025-02-23T15:00:45.992616
Thoreson,Gavyn,RW,L,68,181,ST. CLOUD STATE,NCHC,2004-10-30,Andover,MN,USA,,150,2025-02-23T15:00:45.992616
Conway,Cooper,LW,L,72,165,,,2005-06-08,Andover,MN,USA,159,151,2025-02-23T15:00:45.992616
Valis,Borya,RW,R,73,196,PRINCE GEORGE,WHL,2004-04-08,Los Angeles,CA,USA,183,152,2025-02-23T15:00:45.992616
Casey,Cayden,C,L,72,183,,,2004-10-07,Coon Rapids,MN,USA,195,153,2025-02-23T15:00:45.992616
Chadwick,Noah,D,L,76,202,Lethbridge,WHL,2005-05-10,Saskatoon,SK,CAN,147,154,2025-02-23T15:00:45.992616
Smith,Blake,D,L,76,221,FLINT,OHL,2004-10-05,Oshawa,ON,CAN,123,155,2025-02-23T15:00:45.992616
Wormald,Logan,LW,L,70,156,LETHBRIDGE,WHL,2005-08-12,Langley,BC,CAN,160,156,2025-02-23T15:00:45.992616
Koering,Ryan,D,L,75,188,COLORADO COLLEGE,NCHC,2005-02-11,Eden Prairie,MN,USA,98,157,2025-02-23T15:00:45.992616
De Luca,Tommaso,RW,L,72,187,AMBRI,SWISS,2004-12-29,Aosta,,ITA,144,158,2025-02-23T15:00:45.992616
Keohane,Sean,D,L,76,182,Dexter School,HIGH-MA,2004-11-04,Boston,MA,USA,109,159,2025-02-23T15:00:45.992616
Daviault,Alexis,D,L,71,188,ERIE,OHL,2005-06-17,Gatineau,QC,CAN,169,160,2025-02-23T15:00:45.992616
Julien,Jacob,C,L,76,188,London,OHL,2004-09-12,London,ON,CAN,,161,2025-02-23T15:00:45.992616
Jessli,Aron,LW,L,72,195,LORENSKOG,NORWAY,2004-10-29,Oslo,,NOR,117,162,2025-02-23T15:00:45.992616
Bourosh,Daniil,RW,R,73,188,,,2004-04-15,Minsk,,BLR,180,163,2025-02-23T15:00:45.992616
Vantassell,Nicholas,RW,R,76,196,Green Bay,USHL,2004-04-18,Staten Island,NY,USA,119,164,2025-02-23T15:00:45.992616
Perkins,Matthew,C,L,71,156,Youngstown,USHL,2004-01-21,Regina,SK,CAN,205,165,2025-02-23T15:00:45.992616
Campbell,Ty,D,L,74,183,CHILLIWACK,BCHL,2005-06-02,Nepean,ON,CAN,204,166,2025-02-23T15:00:45.992616
Townsend,Teddy,C,L,70,170,WATERLOO,USHL,2005-09-02,Eden Prairie,MN,USA,154,167,2025-02-23T15:00:45.992616
Topilnyckyj,Anton,D,R,75,195,,,2005-01-04,Oromocto,NB,CAN,162,168,2025-02-23T15:00:45.992616
Clark,Warren,D,R,75,195,Steinbach,MJHL,2004-08-31,Windsor,ON,CAN,182,169,2025-02-23T15:00:45.992616
Gardula,Ethan,LW,L,72,185,UCONN,H-EAST,2005-02-28,Worcester,MA,USA,208,170,2025-02-23T15:00:45.992616
Clark,James,LW,L,72,179,Green Bay,USHL,2004-09-24,Edina,MN,USA,,171,2025-02-23T15:00:45.992616
Port,Vojtech,D,R,74,176,Edmonton,WHL,2005-08-03,Jihlava,,CZE,157,172,2025-02-23T15:00:45.992616
McCoy,Donovan,D,R,72,200,SUDBURY,OHL,2004-11-10,Belleville,ON,CAN,192,173,2025-02-23T15:00:45.992616
Willis,Joey,C,L,70,185,Saginaw,OHL,2005-03-14,Elmhurst,IL,USA,174,174,2025-02-23T15:00:45.992616
Vidicek,Markus,C,L,69,174,MONCTON,QMJHL,2004-03-21,Montreal,QC,CAN,189,175,2025-02-23T15:00:45.992616
Fauchon,Jonathan,C,L,70,177,RIMOUSKI,QMJHL,2004-01-13,Ste-Claire,QC,CAN,190,176,2025-02-23T15:00:45.992616
Bowman,Braeden,RW,R,73,200,,,2003-06-26,Kitchener,ON,CAN,,177,2025-02-23T15:00:45.992616
Toure,Djibril,D,R,78,213,BELLEVILLE,AHL,2003-06-05,Montreal,QC,CAN,156,178,2025-02-23T15:00:45.992616
Legault,Charles-Alexis,D,R,75,208,Quinnipiac,ECAC,2003-09-05,Montreal,QC,CAN,199,179,2025-02-23T15:00:45.992616
Goldsmith,Terrell,D,L,76,217,Prince Albert,WHL,2005-05-13,Fort St. James,BC,CAN,202,180,2025-02-23T15:00:45.992616
Livanavage,Jake,D,L,70,175,NORTH DAKOTA,NCHC,2004-05-06,Mesa,AZ,USA,137,181,2025-02-23T15:00:45.992616
Sova,Spencer,D,L,73,190,BRAMPTON,OHL,2004-01-10,Windsor,ON,CAN,136,182,2025-02-23T15:00:45.992616
Harkimo,Dan,RW,R,74,185,ILVES JR.,FINLAND-JR.,2004-11-09,Helsinki,,FIN,212,183,2025-02-23T15:00:45.992616
St. Denis,Mael,C,L,72,194,RIMOUSKI,QMJHL,2005-05-15,Nominingue,QC,CAN,118,184,2025-02-23T15:00:45.992616
Able,Chris,D,R,72,197,OHIO STATE,BIG10,2004-11-04,Libertyville,IL,USA,194,185,2025-02-23T15:00:45.992616
Brunelle,Benjamin,RW,L,76,196,ROUYN-NORANDA,QMJHL,2005-06-07,Trois-Rivi̬res,QC,CAN,149,186,2025-02-23T15:00:45.992616
Lounsbury,Preston,C,L,72,180,MONCTON,QMJHL,2005-04-12,Moncton,NB,CAN,150,187,2025-02-23T15:00:45.992616
Klee,David,C,L,75,200,Waterloo,USHL,2005-05-10,Castle Rock,CO,USA,,188,2025-02-23T15:00:45.992616
Pirtle,Chase,RW,R,74,179,VICTORIA,BCHL,2005-03-08,Morristown,NJ,USA,141,189,2025-02-23T15:00:45.992616
Jelsma,Beau,C,L,70,182,BARRIE,OHL,2004-04-28,London,ON,CAN,,190,2025-02-23T15:00:45.992616
Delic,Kocha,C,L,70,200,SUDBURY,OHL,2004-03-11,Ottawa,ON,CAN,,191,2025-02-23T15:00:45.992616
Court,Sam,D,R,70,180,ARIZONA STATE,NCHC,2004-01-07,Winnipeg,MB,CAN,224,192,2025-02-23T15:00:45.992616
Robertson,Benjamin,D,L,70,183,CORNELL,ECAC,2004-09-18,Potomac Falls,VA,USA,,193,2025-02-23T15:00:45.992616
Bradshaw,Sebastian,LW,L,76,199,Elite Hockey Academy 18U,USMAAAE,2005-05-26,Newtonville,ON,CAN,,194,2025-02-23T15:00:45.992616
Daneault,Ty,RW,R,71,185,MERRIMACK,H-EAST,2004-12-20,Red Deer,AB,CAN,222,195,2025-02-23T15:00:45.992616
Guzzo,Salvatore,RW,R,72,185,HARVARD,ECAC,2005-04-17,Staten Island,NY,USA,188,196,2025-02-23T15:00:45.992616
Pellerin,Maxime,RW,R,72,188,,,2003-02-18,Sherbrooke,QC,CAN,197,197,2025-02-23T15:00:45.992616
Christopoulos,Alex,RW,R,71,204,,,2003-03-26,Markham,ON,CAN,,198,2025-02-23T15:00:45.992616
Hopkins,Ryan,D,R,73,183,,,2004-04-15,Lunenburg,NS,CAN,196,199,2025-02-23T15:00:45.992616
Fine,Ryan,C,R,67,177,HARVARD,ECAC,2005-03-14,Center Moriches,NY,USA,184,200,2025-02-23T15:00:45.992616
